Syn_Fam,Acc_Fam,Clade
Arthrotaxidaceae,Cupressaceae,Cupressales
Artocarpaceae,Moraceae,Rosales
Arundinaceae,Poaceae,Poales
Arundinellaceae,Poaceae,Poales
Asaraceae,Aristolochiaceae,Piperales
Asclepiadaceae,Apocynaceae,Gentianales
Ascyraceae,Hypericaceae,Malpighiales
Aspalathaceae,Fabaceae,Fabales
Asparagaceae,Asparagaceae,Asparagales
Asperellaceae,Poaceae,Poales
Asperulaceae,Rubiaceae,Gentianales
Asphodelaceae,Asphodelaceae,Asparagales
Aspidiaceae,Dryopteridaceae,Polypodiales-eupolypod_I
Aspidistraceae,Asparagaceae,Asparagales
Aspleniaceae,Aspleniaceae,eupolypod_II
Asteliaceae,Asteliaceae,Asparagales
Asteraceae,Asteraceae,Asterales
Asteranthaceae,Lecythidaceae,Ericales
Asteropeiaceae,Asteropeiaceae,Caryophyllales
Astragalaceae,Fabaceae,Fabales
Astrocarpaceae,Resedaceae,Brassicales
Athanasiaceae,Asteraceae,Asterales
Atherospermataceae,Atherospermataceae,Laurales
Athyriaceae,Athyriaceae,eupolypod_II
Atriplicaceae,Amaranthaceae,Caryophyllales
Atropaceae,Solanaceae,Solanales
Aucubaceae,Garryaceae,Garryales
Aurantiaceae,Rutaceae,Sapindales
Austrobaileyaceae,Austrobaileyaceae,Austrobaileyales
Austrotaxaceae,Taxaceae,Cupressales
Avenaceae,Poaceae,Poales
Averrhoaceae,Oxalidaceae,Oxalidales
Avetraceae,Dioscoreaceae,Dioscoreales
Avicenniaceae,Acanthaceae,Lamiales
Azaleaceae,Ericaceae,Ericales
Azimaceae,Salvadoraceae,Brassicales
Azollaceae,Salviniaceae,Marsileales
Balanitaceae,Zygophyllaceae,Zygophyllales
Baeckeaceae,Myrtaceae,Myrtales
Balanopaceae,Balanopaceae,Malpighiales
Balanophoraceae,Balanophoraceae,Santalales
Balsameaceae,Burseraceae,Sapindales
Balsaminaceae,Balsaminaceae,Ericales
Bambusaceae,Poaceae,Poales
Barbaceniaceae,Velloziaceae,Pandanales
Barbeuiaceae,Barbeuiaceae,Caryophyllales
Barbeyaceae,Barbeyaceae,Rosales
Barclayaceae,Nymphaeaceae,Nymphaeales
Barringtoniaceae,Lecythidaceae,Ericales
Basellaceae,Basellaceae,Caryophyllales
Bataceae,Bataceae,Brassicales
Baueraceae,Cunoniaceae,Oxalidales
Bauhiniaceae,Fabaceae,Fabales
Baxteriaceae,Dasypogonaceae,Arecales
Begoniaceae,Begoniaceae,Cucurbitales
Behniaceae,Asparagaceae,Asparagales
Belangeraceae,Cunoniaceae,Oxalidales
Belloniaceae,Gesneriaceae,Lamiales
Bembiciaceae,Salicaceae,Malpighiales
Berberidaceae,Berberidaceae,Ranunculales
Berberidopsidaceae,Berberidopsidaceae,Berberidopsidales
Berryaceae,Malvaceae,Malvales
Bersamaceae,Francoaceae,Geraniales
Bertyaceae,Euphorbiaceae,Malpighiales
Berzeliaceae,Bruniaceae,Bruniales
Besleriaceae,Gesneriaceae,Lamiales
Betaceae,Amaranthaceae,Caryophyllales
Betulaceae,Betulaceae,Fagales
Biebersteiniaceae,Biebersteiniaceae,Sapindales
Bifariaceae,Santalaceae,Santalales
Bignoniaceae,Bignoniaceae,Lamiales
Bischofiaceae,Phyllanthaceae,Malpighiales
Bixaceae,Bixaceae,Malvales
Blakeaceae,Melastomataceae,Myrtales
Blandfordiaceae,Blandfordiaceae,Asparagales
Blattiaceae,Lythraceae,Myrtales
Blechnaceae,Blechnaceae,eupolypod_II
Blepharocaryaceae,Anacardiaceae,Sapindales
Blitaceae,Amaranthaceae,Caryophyllales
Blyxaceae,Hydrocharitaceae,Alismatales
Boerlagellaceae,Sapotaceae,Ericales
Bogutchanthaceae,Bogutchanthaceae,"fossil""Hamamelidales"""
Bolbitidaceae,Dryopteridaceae,Polypodiales-eupolypod_I
Bolivaraceae,Oleaceae,Lamiales
Bombacaceae,Malvaceae,Malvales
Bonnetiaceae,Bonnetiaceae,Malpighiales
Bontiaceae,Scrophulariaceae,Lamiales
Boopidaceae,Calyceraceae,Asterales
Boraginaceae,Boraginaceae,Boraginales
Borassaceae,Arecaceae,Arecales
Boroniaceae,Rutaceae,Sapindales
Borthwickiaceae,Resedaceae,Brassicales
Boryaceae,Boryaceae,Asparagales
Botrychiaceae,Ophioglossaceae,Ophioglossales
Botryodendraceae,Araliaceae,Apiales
Bougainvilleaceae,Nyctaginaceae,Caryophyllales
Boweniaceae,Zamiaceae,Cycadales
Brassicaceae,Brassicaceae,Brassicales
Brachycaulaceae,Saxifragaceae,Saxifragales
Bracteocarpaceae,Podocarpaceae,Cupressales
Bretschneideraceae,Akaniaceae,Brassicales
Brexiaceae,Celastraceae,Celastrales
Bromaceae,Poaceae,Poales
Bromeliaceae,Bromeliaceae,Poales
Browalliaceae,Solanaceae,Solanales
Brownlowiaceae,Malvaceae,Malvales
Brunelliaceae,Brunelliaceae,Oxalidales
Bruniaceae,Bruniaceae,Bruniales
Brunoniaceae,Goodeniaceae,Asterales
Brunsvigiaceae,Amaryllidaceae,Asparagales
Bryoniaceae,Cucurbitaceae,Cucurbitales
Buchneraceae,Orobanchaceae,Lamiales
