Syn_Fam,Acc_Fam,Clade
Erysimaceae,Brassicaceae,Brassicales
Erythroniaceae,Liliaceae,Liliales
Erythropalaceae,Erythropalaceae,Santalales
Erythrospermaceae,Achariaceae,Malpighiales
Erythroxylaceae,Erythroxylaceae,Malpighiales
Escalloniaceae,Escalloniaceae,Escalloniales
Eschscholziaceae,Papaveraceae,Ranunculales
Eucomidaceae,Asparagaceae,Asparagales
Eucommiaceae,Eucommiaceae,Garryales
Eucryphiaceae,Cunoniaceae,Oxalidales
Eugeniaceae,Myrtaceae,Myrtales
Euonymaceae,Celastraceae,Celastrales
Eupatoriaceae,Asteraceae,Asterales
Euphorbiaceae,Euphorbiaceae,Malpighiales
Euphrasiaceae,Orobanchaceae,Lamiales
Euphroniaceae,Euphroniaceae,Malpighiales
Eupomatiaceae,Eupomatiaceae,Magnoliales
Eupteleaceae,Eupteleaceae,Ranunculales
Euryalaceae,Nymphaeaceae,Nymphaeales
Eustrephaceae,Asparagaceae,Asparagales
Euthemidaceae,Ochnaceae,Malpighiales
Eutocaceae,Hydrophyllaceae,Boraginales
Evolvulaceae,Convolvulaceae,Solanales
Exbucklandiaceae,Hamamelidaceae,Saxifragales
Exocarpaceae,Santalaceae,Santalales
Fabaceae,Fabaceae,Fabales
Fagaceae,Fagaceae,Fagales
Falcatifoliaceae,Podocarpaceae,Cupressales
Ferulaceae,Apiaceae,Apiales
Festucaceae,Poaceae,Poales
Ficaceae,Moraceae,Rosales
Ficoidaceae,Aizoaceae,Caryophyllales
Filicaceae,Dryopteridaceae,Polypodiales-eupolypod_I
Fitzroyaceae,Cupressaceae,Cupressales
Flacourtiaceae,Salicaceae,Malpighiales
Flagellariaceae,Flagellariaceae,Poales
Flindersiaceae,Rutaceae,Sapindales
Foetidiaceae,Lecythidaceae,Ericales
Forestieraceae,Oleaceae,Lamiales
Fothergillaceae,Hamamelidaceae,Saxifragales
Fouquieriaceae,Fouquieriaceae,Ericales
Fragariaceae,Rosaceae,Rosales
Francoaceae,Francoaceae,Geraniales
Frangulaceae,Rhamnaceae,Rosales
Frankeniaceae,Frankeniaceae,Caryophyllales
Fraxinaceae,Oleaceae,Lamiales
Fraxinellaceae,Rutaceae,Sapindales
Freycinetiaceae,Pandanaceae,Pandanales
Fritillariaceae,Liliaceae,Liliales
Fuchsiaceae,Onagraceae,Myrtales
Fumariaceae,Papaveraceae,Ranunculales
Funkiaceae,Asparagaceae,Asparagales
Gaiadendraceae,Loranthaceae,Santalales
Galacinaceae,Diapensiaceae,Ericales
Galanthaceae,Amaryllidaceae,Asparagales
Galaxiaceae,Iridaceae,Asparagales
Galedupaceae,Fabaceae,Fabales
Galeniaceae,Aizoaceae,Caryophyllales
Galiaceae,Rubiaceae,Gentianales
Garciniaceae,Clusiaceae,Malpighiales
Gardeniaceae,Rubiaceae,Gentianales
Gardneriaceae,Loganiaceae,Gentianales
Garryaceae,Garryaceae,Garryales
Geissolomataceae,Geissolomataceae,Crossosomatales
Geitonoplesiaceae,Asphodelaceae,Asparagales
Gelsemiaceae,Gelsemiaceae,Gentianales
Geniostomataceae,Loganiaceae,Gentianales
Gentianaceae,Gentianaceae,Gentianales
Geoffroeaceae,Fabaceae,Fabales
Geonomataceae,Arecaceae,Arecales
Geosiridaceae,Iridaceae,Asparagales
Geraniaceae,Geraniaceae,Geraniales
Gerrardinaceae,Gerrardinaceae,Huerteales
Gesneriaceae,Gesneriaceae,Lamiales
Gethyllidaceae,Amaryllidaceae,Asparagales
Gilliesiaceae,Amaryllidaceae,Asparagales
Ginalloaceae,Santalaceae,Santalales
Ginkgoaceae,Ginkgoaceae,Ginkgoales
Gisekiaceae,Gisekiaceae,Caryophyllales
Gladiolaceae,Iridaceae,Asparagales
Glaucidiaceae,Ranunculaceae,Ranunculales
Glechomaceae,Lamiaceae,Lamiales
Gleicheniaceae,Gleicheniaceae,Gleicheniales
Glinaceae,Molluginaceae,Caryophyllales
Globulariaceae,Plantaginaceae,Lamiales
Glyceriaceae,Poaceae,Poales
Gnaphaliaceae,Asteraceae,Asterales
Gnetaceae,Gnetaceae,Gnetales
Gnidiaceae,Thymelaeaceae,Malvales
Goetzeaceae,Solanaceae,Solanales
Gomortegaceae,Gomortegaceae,Laurales
Gomphiaceae,Ochnaceae,Malpighiales
Gomphrenaceae,Amaranthaceae,Caryophyllales
Gonystylaceae,Thymelaeaceae,Malvales
Goodeniaceae,Goodeniaceae,Asterales
Gordoniaceae,Theaceae,Ericales
Gouaniaceae,Rhamnaceae,Rosales
Goupiaceae,Goupiaceae,Malpighiales
Gramineae,Gramineae,Poales
Grammitidaceae,Polypodiaceae,Polypodiales-eupolypod_I
Gratiolaceae,Plantaginaceae,Lamiales
Grewiaceae,Malvaceae,Malvales
Greyiaceae,Francoaceae,Geraniales
Grielaceae,Neuradaceae,Malvales
Grindeliaceae,Asteraceae,Asterales
Griseliniaceae,Griseliniaceae,Apiales
Gronoviaceae,Loasaceae,Cornales
Grossulariaceae,Grossulariaceae,Saxifragales
Grubbiaceae,Grubbiaceae,Cornales
Guaiacanaceae,Ebenaceae,Ericales
Guamatelaceae,Guamatelaceae,Crossosomatales
Guettardaceae,Rubiaceae,Gentianales
Gunneraceae,Gunneraceae,Gunnerales
Gustaviaceae,Lecythidaceae,Ericales
Guttiferae,Clusiaceae,Malpighiales
Gymnogrammitidaceae,Polypodiaceae,Polypodiales-eupolypod_I
Gyrocarpaceae,Hernandiaceae,Laurales
Gyrostemonaceae,Gyrostemonaceae,Brassicales
Hachetteaceae,Balanophoraceae,Santalales
Haemanthaceae,Amaryllidaceae,Asparagales
Haemodoraceae,Haemodoraceae,Commelinales
Halesiaceae,Styracaceae,Ericales
Halleriaceae,Stilbaceae,Lamiales
Halocarpaceae,Podocarpaceae,Cupressales
Halophilaceae,Hydrocharitaceae,Alismatales
Halophytaceae,Halophytaceae,Caryophyllales
Haloragaceae,Haloragaceae,Saxifragales
Hamamelidaceae,Hamamelidaceae,Saxifragales
Hameliaceae,Rubiaceae,Gentianales
Hanguanaceae,Hanguanaceae,Commelinales
Haptanthaceae,Buxaceae,Buxales
Harmandiaceae,Aptandraceae,Santalales
Hebenstretiaceae,Scrophulariaceae,Lamiales
Hectorellaceae,Montiaceae,Caryophyllales
Hederaceae,Araliaceae,Apiales
Hedyosmaceae,Chloranthaceae,Chloranthales
Hedyotidaceae,Rubiaceae,Gentianales
Hedysaraceae,Fabaceae,Fabales
Heisteriaceae,Erythropalaceae,Santalales
Heleniaceae,Asteraceae,Asterales
Heliamphoraceae,Sarraceniaceae,Ericales
Helianthaceae,Asteraceae,Asterales
Helianthemaceae,Cistaceae,Malvales
Helichrysaceae,Asteraceae,Asterales
Heliconiaceae,Heliconiaceae,Zingiberales
Helicteraceae,Malvaceae,Malvales
Heliotropiaceae,Heliotropiaceae,Boraginales
Helleboraceae,Ranunculaceae,Ranunculales
Helmithostachyaceae,Ophioglossaceae,Ophioglossales
Heloniadaceae,Melanthiaceae,Liliales
Helosidaceae,Balanophoraceae,Santalales
Helwingiaceae,Helwingiaceae,Aquifoliales
Hemerocallidaceae,Asphodelaceae,Asparagales
Hemidictyaceae,Hemidictyaceae,Polypodiales-eupolypod_II
Hemionotidaceae,Pteridaceae,Polypodiales
Hemimeridaceae,Scrophulariaceae,Lamiales
Hemiphylacaceae,Asparagaceae,Asparagales
Henriqueziaceae,Rubiaceae,Gentianales
Henslowiaceae,Crypteroniaceae,Myrtales
Hermanniaceae,Malvaceae,Malvales
Hernandiaceae,Hernandiaceae,Laurales
Herniariaceae,Caryophyllaceae,Caryophyllales
Herreriaceae,Asparagaceae,Asparagales
Hesperocallidaceae,Asparagaceae,Asparagales
Heterantheraceae,Pontederiaceae,Commelinales
Heteropyxidaceae,Myrtaceae,Myrtales
Heterostylaceae,Juncaginaceae,Alismatales
Hewardiaceae,Iridaceae,Asparagales
Hibbertiaceae,Dilleniaceae,Dilleniales
Hibiscaceae,Malvaceae,Malvales
Hilleriaceae,Petiveriaceae,Caryophyllales
Himantandraceae,Himantandraceae,Magnoliales
Hippocastanaceae,Sapindaceae,Sapindales
Hippocrateaceae,Celastraceae,Celastrales
Hippomanaceae,Euphorbiaceae,Malpighiales
Hippophaeaceae,Elaeagnaceae,Rosales
Hippuridaceae,Plantaginaceae,Lamiales
Hirtellaceae,Chrysobalanaceae,Malpighiales
Holacanthaceae,Simaroubaceae,Sapindales
Holcaceae,Poaceae,Poales
Homaliaceae,Salicaceae,Malpighiales
Hopkinsiaceae,Restionaceae,Poales
Hoplestigmataceae,Cordiaceae,Boraginales
Hordeaceae,Poaceae,Poales
Hornschuchiaceae,Annonaceae,Magnoliales
Hortensiaceae,Hydrangeaceae,Cornales
Hortoniaceae,Monimiaceae,Laurales
Hostaceae,Asparagaceae,Asparagales
Hottoniaceae,Primulaceae,Ericales
Houstoniaceae,Rubiaceae,Gentianales
Huaceae,Huaceae,Oxalidales
Huerteaceae,Tapisciaceae,Huerteales
Hugoniaceae,Linaceae,Malpighiales
Humbertiaceae,Convolvulaceae,Solanales
Humiriaceae,Humiriaceae,Malpighiales
Humulaceae,Cannabaceae,Rosales
Hyacinthaceae,Asparagaceae,Asparagales
Hydatellaceae,Hydatellaceae,Nymphaeales
Hydnoraceae,Aristolochiaceae,Piperales
Hydrangeaceae,Hydrangeaceae,Cornales
Hydrastidaceae,Ranunculaceae,Ranunculales
Hydrillaceae,Hydrocharitaceae,Alismatales
Hydrocharitaceae,Hydrocharitaceae,Alismatales
Hydroceraceae,Balsaminaceae,Ericales
Hydrocotylaceae,Araliaceae,Apiales
Hydrogetonaceae,Potamogetonaceae,Alismatales
Hydroleaceae,Hydroleaceae,Solanales
Hydropeltidaceae,Cabombaceae,Nymphaeales
Hydrophylacaceae,Rubiaceae,Gentianales
Hydrophyllaceae,Hydrophyllaceae,Boraginales
Hydrostachyaceae,Hydrostachyaceae,Cornales
Hymenocardiaceae,Phyllanthaceae,Malpighiales
Hymenophyllaceae,Hymenophyllaceae,Hymenophyllales
Hymenophyllopsidaceae,Cyatheaceae,Cyatheales
Hyoscyamaceae,Solanaceae,Solanales
Hypecoaceae,Papaveraceae,Ranunculales
Hyperantheraceae,Moringaceae,Brassicales
Hypericaceae,Hypericaceae,Malpighiales
Hypodematiaceae,Hypodematiaceae,Polypodiales-eupolypod_I
Hypolepidaceae,Dennstaedtiaceae,Polypodiales
Hypopityaceae,Ericaceae,Ericales
Hypoxidaceae,Hypoxidaceae,Asparagales
Hypseocharitaceae,Geraniaceae,Geraniales
Icacinaceae,Icacinaceae,Icacinales
Idiospermaceae,Calycanthaceae,Laurales
Illecebraceae,Caryophyllaceae,Caryophyllales
Ilicaceae,Aquifoliaceae,Aquifoliales
Illiciaceae,Schisandraceae,Austrobaileyales
Illigeraceae,Hernandiaceae,Laurales
Impatientaceae,Balsaminaceae,Ericales
Imperatoriaceae,Apiaceae,Apiales
Inocarpaceae,Fabaceae,Fabales
Inulaceae,Asteraceae,Asterales
Iodaceae,Icacinaceae,Icacinales
Ionidiaceae,Violaceae,Malpighiales
Iriarteaceae,Arecaceae,Arecales
Iridaceae,Iridaceae,Asparagales
Irvingiaceae,Irvingiaceae,Malpighiales
Isatidaceae,Brassicaceae,Brassicales
Isnardiaceae,Onagraceae,Myrtales
Isoëtaceae,Isoëtaceae,Lycopodiales
Isophysidaceae,Iridaceae,Asparagales
Iteaceae,Iteaceae,Saxifragales
Ivaceae,Asteraceae,Asterales
Ixerbaceae,Strasburgeriaceae,Crossosomatales
Ixiaceae,Iridaceae,Asparagales
Ixioliriaceae,Ixioliriaceae,Asparagales
Ixonanthaceae,Ixonanthaceae,Malpighiales
Jalapaceae,Nyctaginaceae,Caryophyllales
Jamboliferaceae,Rutaceae,Sapindales
Japonoliriaceae,Petrosaviaceae,Petrosaviales
Jasionaceae,Campanulaceae,Asterales
Jasminiaceae,Oleaceae,Lamiales
Johnsoniaceae,Asphodelaceae,Asparagales
Joinvilleaceae,Joinvilleaceae,Poales
Juglandaceae,Juglandaceae,Fagales
Julianiaceae,Anacardiaceae,Sapindales
Juncaceae,Juncaceae,Poales
Juncaginaceae,Juncaginaceae,Alismatales
Juniperaceae,Cupressaceae,Cupressales
Jussiaeaceae,Onagraceae,Myrtales
Justiciaceae,Acanthaceae,Lamiales
Kadsuraceae,Schisandraceae,Austrobaileyales
Kaliphoraceae,Montiniaceae,Solanales
Kalmiaceae,Ericaceae,Ericales
Kaniaceae,Myrtaceae,Myrtales
Kasicarpaceae,Kasicarpaceae,fossil_Sarbaicarpales
Kewaceae,Kewaceae,Caryophyllales
Kiggelariaceae,Achariaceae,Malpighiales
Kingdoniaceae,Circaeasteraceae,Ranunculales
Kingiaceae,Dasypogonaceae,Arecales
Kirengeshomaceae,Hydrangeaceae,Cornales
Kirkiaceae,Kirkiaceae,Sapindales
Kobresiaceae,Cyperaceae,Poales
Koeberliniaceae,Koeberliniaceae,Brassicales
Koelreuteriaceae,Sapindaceae,Sapindales
Krameriaceae,Krameriaceae,Zygophyllales
Labiatae,Labiatae,Lamiales
Lacandoniaceae,Triuridaceae,Pandanales
Lachenaliaceae,Asparagaceae,Asparagales
Lacistemataceae,Lacistemataceae,Malpighiales
Lactoridaceae,Aristolochiaceae,Piperales
Lactucaceae,Asteraceae,Asterales
Lagerstroemiaceae,Lythraceae,Myrtales
Lagoeciaceae,Apiaceae,Apiales
Laguraceae,Poaceae,Poales
Lamiaceae,Lamiaceae,Lamiales
Lanariaceae,Lanariaceae,Asparagales
Langsdorffiaceae,Balanophoraceae,Santalales
Lantanaceae,Verbenaceae,Lamiales
Lapageriaceae,Philesiaceae,Liliales
Lardizabalaceae,Lardizabalaceae,Ranunculales
Lasiaceae,Araceae,Alismatales
Lasiopetalaceae,Malvaceae,Malvales
Lauraceae,Lauraceae,Laurales
Lawsoniaceae,Lythraceae,Myrtales
Laxmanniaceae,Asparagaceae,Asparagales
Lecythidaceae,Lecythidaceae,Ericales
Ledaceae,Ericaceae,Ericales
Ledocarpaceae,Francoaceae,Geraniales
Leeaceae,Vitaceae,Vitales
Legnotidaceae,Rhizophoraceae,Malpighiales
Leguminosae,Fabaceae,Fabales
Leitneriaceae,Simaroubaceae,Sapindales
Lemnaceae,Araceae,Alismatales
Lennoaceae,Ehretiaceae,Boraginales
Lentibulariaceae,Lentibulariaceae,Lamiales
Lentiscaceae,Anacardiaceae,Sapindales
Leoniaceae,Violaceae,Malpighiales
Leonticaceae,Berberidaceae,Ranunculales
Lepidobotryaceae,Lepidobotryaceae,Celastrales
Lepidocarpaceae,Proteaceae,Proteales
Lepidocaryaceae,Arecaceae,Arecales
Lepidocerataceae,Santalaceae,Santalales
Lepidothamnaceae,Podocarpaceae,Cupressales
Leptaulaceae,Cardiopteridaceae,Aquifoliales
Leptospermaceae,Myrtaceae,Myrtales
Lepturaceae,Poaceae,Poales
Lepuropetalaceae,Celastraceae,Celastrales
Leucojaceae,Amaryllidaceae,Asparagales
Leuctenbergiaceae,Cactaceae,Caryophyllales
Libocedraceae,Cupressaceae,Cupressales
Licaniaceae,Chrysobalanaceae,Malpighiales
Ligustraceae,Oleaceae,Lamiales
Lilaeaceae,Juncaginaceae,Alismatales
Liliaceae,Liliaceae,Liliales
Limeaceae,Limeaceae,Caryophyllales
Limnanthaceae,Limnanthaceae,Brassicales
Limnocharitaceae,Alismataceae,Alismatales
Limnnopityaceae,Cupressaceae,Cupressales
Limodoraceae,Orchidaceae,Asparagales
Limoniaceae,Plumbaginaceae,Caryophyllales
Limosellaceae,Scrophulariaceae,Lamiales
Linaceae,Linaceae,Malpighiales
Linariaceae,Plantaginaceae,Lamiales
Lindenbergiaceae,Orobanchaceae,Lamiales
Linderniaceae,Linderniaceae,Lamiales
Lindleyaceae,Rosaceae,Rosales
Lindsaeaceae,Lindsaeaceae,Polypodiales
Linnaeaceae,Caprifoliaceae,Dipsacales
Liparidaceae,Orchidaceae,Asparagales
Lippayaceae,Rubiaceae,Gentianales
Liriaceae,Liliaceae,Liliales
Liriodendraceae,Magnoliaceae,Magnoliales
Lissocarpaceae,Ebenaceae,Ericales
Littorellaceae,Plantaginaceae,Lamiales
Loasaceae,Loasaceae,Cornales
Lobeliaceae,Campanulaceae,Asterales
Loganiaceae,Loganiaceae,Gentianales
Loliaceae,Poaceae,Poales
Lomandraceae,Asparagaceae,Asparagales
Lomariopsidaceae,Lomariopsidaceae,Polypodiales-eupolypod_I
Lonchitidaceae,Lonchitidaceae,Polypodiales
Loniceraceae,Caprifoliaceae,Dipsacales
Lopeziaceae,Onagraceae,Myrtales
Lophiocarpaceae,Lophiocarpaceae,Caryophyllales
Lophiolaceae,Nartheciaceae,Dioscoreales
Lophiraceae,Ochnaceae,Malpighiales
Lophophytaceae,Balanophoraceae,Santalales
Lophopyxidaceae,Lophopyxidaceae,Malpighiales
Lophosoriaceae,Dicksoniaceae,Cyatheales
Loranthaceae,Loranthaceae,Santalales
Lotaceae,Fabaceae,Fabales
Lowiaceae,Lowiaceae,Zingiberales
Loxogrammaceae,Polypodiaceae,Polypodiales-eupolypod_I
Loxsomataceae,Loxsomataceae,Cyatheales
Lupulaceae,Cannabaceae,Rosales
Luxemburgiaceae,Ochnaceae,Malpighiales
Luzuriagaceae,Alstroemeriaceae,Liliales
Lychnidaceae,Caryophyllaceae,Caryophyllales
Lyciaceae,Solanaceae,Solanales
Lycopodiaceae,Lycopodiaceae,Lycopodiales
Lyginiaceae,Restionaceae,Poales
Lygodiaceae,Lygodiaceae,Schizaeales
Lygodisodeaceae,Rubiaceae,Gentianales
Lysimachiaceae,Primulaceae,Ericales
Lythraceae,Lythraceae,Myrtales
Macarisiaceae,Rhizophoraceae,Malpighiales
Macarthuriaceae,Macarthuriaceae,Caryophyllales
Mackinlayaceae,Apiaceae,Apiales
Madiaceae,Asteraceae,Asterales
Maesaceae,Primulaceae,Ericales
Magnoliaceae,Magnoliaceae,Magnoliales
Malaceae,Rosaceae,Rosales
Malesherbiaceae,Passifloraceae,Malpighiales
Malortieaceae,Arecaceae,Arecales
Malpighiaceae,Malpighiaceae,Malpighiales
Malvaceae,Malvaceae,Malvales
Mangiaceae,Rhizophoraceae,Malpighiales
Manicariaceae,Arecaceae,Arecales
Mansoniaceae,Malvaceae,Malvales
Mapaniaceae,Cyperaceae,Poales
Marantaceae,Marantaceae,Zingiberales
Marathraceae,Podostemaceae,Malpighiales
Marcgraviaceae,Marcgraviaceae,Ericales
Marsileaceae,Marsileaceae,Marsileales
Marattiaceae,Marattiaceae,Marattiales
Martyniaceae,Martyniaceae,Lamiales
Mastixiaceae,Nyssaceae,Cornales
Matoniaceae,Matoniaceae,Gleicheniales
Matricariaceae,Asteraceae,Asterales
Maundiaceae,Maundiaceae,Alismatales
Mayacaceae,Mayacaceae,Poales
Mazaceae,Mazaceae,Lamiales
Medeolaceae,Liliaceae,Liliales
Medusagynaceae,Ochnaceae,Malpighiales
Medusandraceae,Peridiscaceae,Saxifragales
Melaleucaceae,Myrtaceae,Myrtales
Melampyraceae,Orobanchaceae,Lamiales
Melanophyllaceae,Torricelliaceae,Apiales
Melanthiaceae,Melanthiaceae,Liliales
Melastomataceae,Melastomataceae,Myrtales
Meliaceae,Meliaceae,Sapindales
Melianthaceae,Greyiaceae,Geraniales
Melicaceae,Poaceae,Poales
Meliosmaceae,Sabiaceae,Proteales
Melittidaceae,Lamiaceae,Lamiales
Melochiaceae,Malvaceae,Malvales
Memecylaceae,Melastomataceae,Myrtales
Mendonciaceae,Acanthaceae,Lamiales
Menispermaceae,Menispermaceae,Ranunculales
Menthaceae,Lamiaceae,Lamiales
Menyanthaceae,Menyanthaceae,Asterales
Menzieziaceae,Ericaceae,Ericales
Mercurialaceae,Euphorbiaceae,Malpighiales
Merenderaceae,Colchicaceae,Liliales
Mesembryaceae,Aizoaceae,Caryophyllales
Mesembryanthemaceae,Aizoaceae,Caryophyllales
Mespilaceae,Rosaceae,Rosales
Metasequioaceae,Cupressaceae,Cupressales
Metaxyaceae,Metaxyaceae,Cyatheales
Metteniusaceae,Metteniusaceae,Metteniusales
Meyeniaceae,Acanthaceae,Lamiales
Miconiaceae,Melastomataceae,Myrtales
Micrantheaceae,Picrodendraceae,Malpighiales
Microbiotaceae,Cupressaceae,Cupressales
Microcachrydaceae,Podocarpaceae,Cupressales
Microcycadaceae,Zamiaceae,Cycadales
Microstrobaceae,Podocarpaceae,Cupressales
Microteaceae,Microteaceae,Caryophyllales
Miliaceae,Poaceae,Poales
Milulaceae,Amaryllidaceae,Asparagales
Mimosaceae,Fabaceae,Fabales
Minuartiaceae,Caryophyllaceae,Caryophyllales
Mirabilidaceae,Nyctaginaceae,Caryophyllales
Misodendraceae,Misodendraceae,Santalales
Mitrastemonaceae,Mitrastemonaceae,Ericales
Miyoshiaceae,Petrosaviaceae,Petrosaviales
Modeccaceae,Passifloraceae,Malpighiales
Molluginaceae,Molluginaceae,Caryophyllales
Monardaceae,Lamiaceae,Lamiales
Monimiaceae,Monimiaceae,Laurales
Monodoraceae,Annonaceae,Magnoliales
Monotaceae,Dipterocarpaceae,Malvales
Monotropaceae,Ericaceae,Ericales
Monsteraceae,Araceae,Alismatales
Montiaceae,Montiaceae,Caryophyllales
Montiniaceae,Montiniaceae,Solanales
Montsechiaceae_(extinct),Montsechiaceae_(extinct),Ceratophyllales
Moraceae,Moraceae,Rosales
Moreniaceae,Arecaceae,Arecales
Morinaceae,Caprifoliaceae,Dipsacales
Moringaceae,Moringaceae,Brassicales
Mouririaceae,Melastomataceae,Myrtales
Moutabeaceae,Polygalaceae,Fabales
Muntingiaceae,Muntingiaceae,Malvales
Musaceae,Musaceae,Zingiberales
Mutisiaceae,Asteraceae,Asterales
Myodocarpaceae,Myodocarpaceae,Apiales
Myoporaceae,Scrophulariaceae,Lamiales
Myricaceae,Myricaceae,Fagales
Myriophyllaceae,Haloragaceae,Saxifragales
Myristicaceae,Myristicaceae,Magnoliales
Myrobalanaceae,Combretaceae,Myrtales
Myrothamnaceae,Myrothamnaceae,Gunnerales
Myrrhiniaceae,Myrtaceae,Myrtales
Myrsinaceae,Primulaceae,Ericales
Myrtaceae,Myrtaceae,Myrtales
Mystropetalaceae,Balanophoraceae,Santalales
Nageiaceae,Podocarpaceae,Cupressales
Najadaceae,Hydrocharitaceae,Alismatales
Namaceae,Namaceae,Boraginales
Nandinaceae,Berberidaceae,Ranunculales
Nanodeaceae,Santalaceae,Santalales
Napoleonaeaceae,Lecythidaceae,Ericales
Nartheciaceae,Nartheciaceae,Dioscoreales
Narcissaceae,Amaryllidaceae,Asparagales
Nardaceae,Poaceae,Poales
Nassauviaceae,Asteraceae,Asterales
Naucleaceae,Rubiaceae,Gentianales
Nectaropetalaceae,Erythroxylaceae,Malpighiales
Negripteridaceae,Pteridaceae,Polypodiales
Neilliaceae,Rosaceae,Rosales
Nelsoniaceae,Acanthaceae,Lamiales
Nelumbonaceae,Nelumbonaceae,Proteales
Nemacladaceae,Campanulaceae,Asterales
Neocallitropsidaceae,Cupressaceae,Cupressales
Neottiaceae,Orchidaceae,Asparagales
Nepenthaceae,Nepenthaceae,Caryophyllales
Nepetaceae,Lamiaceae,Lamiales
Nephrolepidaceae,Nephrolepidaceae,Polypodiales-eupolypod_I
Nesogenaceae,Orobanchaceae,Lamiales
Neuradaceae,Neuradaceae,Malvales
Neuwiediaceae,Orchidaceae,Asparagales
Nhandirobaceae,Cucurbitaceae,Cucurbitales
Nicotianaceae,Solanaceae,Solanales
Nigellaceae,Ranunculaceae,Ranunculales
Nitrariaceae,Nitrariaceae,Sapindales
Nolanaceae,Solanaceae,Solanales
Nolinaceae,Asparagaceae,Asparagales
Nonateliaceae,Rubiaceae,Gentianales
Nopaleaceae,Cactaceae,Caryophyllales
Noranteaceae,Marcgraviaceae,Ericales
Nothofagaceae,Nothofagaceae,Fagales
Nupharaceae,Nymphaeaceae,Nymphaeales
Nuytsiaceae,Loranthaceae,Santalales
Nyctaginaceae,Nyctaginaceae,Caryophyllales
Nyctanthaceae,Oleaceae,Lamiales
Nymphaeaceae,Nymphaeaceae,Nymphaeales
Nypaceae,Arecaceae,Arecales
Nyssaceae,Nyssaceae,Cornales
Obolariaceae,Gentianaceae,Gentianales
Ochnaceae,Ochnaceae,Malpighiales
Ochranthaceae,Staphyleaceae,Crossosomatales
Octoknemaceae,Octoknemaceae,Santalales
Oenotheraceae,Onagraceae,Myrtales
Oftiaceae,Scrophulariaceae,Lamiales
Olacaceae,Olacaceae,Santalales
Oleaceae,Oleaceae,Lamiales
Oleandraceae,Oleandraceae,Polypodiales-eupolypod_I
Oliniaceae,Penaeaceae,Myrtales
Olyraceae,Poaceae,Poales
Onagraceae,Onagraceae,Myrtales
Oncothecaceae,Oncothecaceae,Icacinales
Onocleaceae,Onocleaceae,eupolypod_II
Onosmaceae,Boraginaceae,Boraginales
Operculariaceae,Rubiaceae,Gentianales
Ophioglossaceae,Ophioglossaceae,Ophioglossales
Ophiopogonaceae,Asparagaceae,Asparagales
Ophioxylaceae,Apocynaceae,Gentianales
Ophiraceae,Grubbiaceae,Cornales
Ophiuraceae,Poaceae,Poales
Ophrydaceae,Orchidaceae,Asparagales
Opiliaceae,Opiliaceae,Santalales
Oporanthaceae,Amaryllidaceae,Asparagales
Opuntiaceae,Cactaceae,Caryophyllales
Orchidaceae,Orchidaceae,Asparagales
Ornithogalaceae,Asparagaceae,Asparagales
Ornithrophaceae,Cunoniaceae,Oxalidales
Orobanchaceae,Orobanchaceae,Lamiales
Orontiaceae,Araceae,Alismatales
Ortegaceae,Caryophyllaceae,Caryophyllales
Oryzaceae,Poaceae,Poales
Osyridaceae,Santalaceae,Santalales
Oxalidaceae,Oxalidaceae,Oxalidales
Oxycladaceae,Plantaginaceae,Lamiales
Oxycoccaceae,Ericaceae,Ericales
Oxystylidaceae,Cleomaceae,Brassicales
Pachysandraceae,Buxaceae,Buxales
Pacouriaceae,Apocynaceae,Gentianales
Paeoniaceae,Paeoniaceae,Saxifragales
Pagamaeaceae,Rubiaceae,Gentianales
Paivaeusaceae,Picrodendraceae,Malpighiales
Palmae,Palmae,Arecales
Pancratiaceae,Amaryllidaceae,Asparagales
Pandaceae,Pandaceae,Malpighiales
Pandanaceae,Pandanaceae,Pandanales
Pangiaceae,Achariaceae,Malpighiales
Panicaceae,Poaceae,Poales
Papaveraceae,Papaveraceae,Ranunculales
Papayaceae,Caricaceae,Brassicales
Papilionaceae,Fabaceae,Fabales
Pappophoraceae,Poaceae,Poales
Papyraceae,Cyperaceae,Poales
Paracryphiaceae,Paracryphiaceae,Paracryphiales
Parasitaxaceae,Podocarpaceae,Cupressales
Parianaceae,Poaceae,Poales
Paridaceae,Melanthiaceae,Liliales
Parkeriaceae,Pteridaceae,Polypodiales
Parnassiaceae,Celastraceae,Celastrales
Paronychiaceae,Caryophyllaceae,Caryophyllales
Paropsiaceae,Passifloraceae,Malpighiales
Parrotiaceae,Hamamelidaceae,Saxifragales
Partheniaceae,Asteraceae,Asterales
Paspalaceae,Poaceae,Poales
Passifloraceae,Passifloraceae,Malpighiales
Pastinacaceae,Apiaceae,Apiales
Paulliniaceae,Sapindaceae,Sapindales
Paulowniaceae,Paulowniaceae,Lamiales
Paviaceae,Sapindaceae,Sapindales
Pectiantiaceae,Saxifragaceae,Saxifragales
Pedaliaceae,Pedaliaceae,Lamiales
Pedicularidaceae,Orobanchaceae,Lamiales
Peganaceae,Nitrariaceae,Sapindales
Peliosanthaceae,Asparagaceae,Asparagales
Pellicieraceae,Tetrameristaceae,Ericales
Peltantheraceae,Peltantheraceae,Lamiales
Penaeaceae,Penaeaceae,Myrtales
Pennantiaceae,Pennantiaceae,Apiales
Pentadiplandraceae,Pentadiplandraceae,Brassicales
