taxonID,scientificName,tip_label,family,genus,species,split_length,author.x,genus_hybrid,species_hybrid,taxon_rank,infra_name,comment,usable,id,family.apg,taxon_status,author.y,accepted_plant_name_id,match_type
161101,Lemna minuta,Lemna minuta,Araceae,Lemna,minuta,2,,,,species,,,,13665,Araceae,Invalid,Raf,109342-wcs,
162016,Peplis portula,Peplis portula,Lythraceae,Peplis,portula,2,,,,species,,,,13733,Lythraceae,Synonym,L,354126-az,
162016,Peplis portula,Peplis portula,Lythraceae,Peplis,portula,2,,,,species,,,,13733,Lythraceae,Invalid,Schrank,494015-az,
171310,Gesneria acaulis,Gesneria acaulis,Gesneriaceae,Gesneria,acaulis,2,,,,species,,,,14772,Gesneriaceae,Synonym,Hanst,588886-az,
171310,Gesneria acaulis,Gesneria acaulis,Gesneriaceae,Gesneria,acaulis,2,,,,species,,,,14772,Gesneriaceae,Accepted,L,824764-az,
171310,Gesneria acaulis,Gesneria acaulis,Gesneriaceae,Gesneria,acaulis,2,,,,species,,,,14772,Gesneriaceae,Synonym,Moc&Sessé,617298-az,
180757,Vaccinium floribundum,Vaccinium floribundum,Ericaceae,Vaccinium,floribundum,2,,,,species,,,,15899,Ericaceae,Illegitimate,Miq,1258740-az,
180757,Vaccinium floribundum,Vaccinium floribundum,Ericaceae,Vaccinium,floribundum,2,,,,species,,,,15899,Ericaceae,Accepted,Kunth,458865-az,
180966,Cyperus cuspidatus,Cyperus cuspidatus,Cyperaceae,Cyperus,cuspidatus,2,,,,species,,,,15941,Cyperaceae,Accepted,Kunth,236226-wcs,
180966,Cyperus cuspidatus,Cyperus cuspidatus,Cyperaceae,Cyperus,cuspidatus,2,,,,species,,,,15941,Cyperaceae,Illegitimate,Baker,235830-wcs,
183845,Eucalyptus perriniana,Eucalyptus perriniana,Myrtaceae,Eucalyptus,perriniana,2,,,,species,,,,16212,Myrtaceae,Accepted,FMuellexRodway,73614-wcs,
183845,Eucalyptus perriniana,Eucalyptus perriniana,Myrtaceae,Eucalyptus,perriniana,2,,,,species,,,,16212,Myrtaceae,Illegitimate,RTBaker&HGSm,273547-wcs,
185525,Ilex laurina,Ilex laurina,Aquifoliaceae,Ilex,laurina,2,,,,species,,,,16519,Aquifoliaceae,Accepted,Kunth,860956-az,
185525,Ilex laurina,Ilex laurina,Aquifoliaceae,Ilex,laurina,2,,,,species,,,,16519,Aquifoliaceae,Synonym,Klotzsch,860630-az,
185549,Ilex rupicola,Ilex rupicola,Aquifoliaceae,Ilex,rupicola,2,,,,species,,,,16543,Aquifoliaceae,Synonym,Ridl,861516-az,
185549,Ilex rupicola,Ilex rupicola,Aquifoliaceae,Ilex,rupicola,2,,,,species,,,,16543,Aquifoliaceae,Accepted,Kunth,861392-az,
195118,Paederota bonarota,Paederota bonarota,Plantaginaceae,Paederota,bonarota,2,,,,species,,,,17432,Plantaginaceae,Misapplied,Jacq,542248-az,
195118,Paederota bonarota,Paederota bonarota,Plantaginaceae,Paederota,bonarota,2,,,,species,,,,17432,Plantaginaceae,Accepted,(L)L,542260-az,
197598,Mercurialis elliptica,Mercurialis elliptica,Euphorbiaceae,Mercurialis,elliptica,2,,,,species,,,,17683,Euphorbiaceae,Illegitimate,Duby,125743-wcs,
197598,Mercurialis elliptica,Mercurialis elliptica,Euphorbiaceae,Mercurialis,elliptica,2,,,,species,,,,17683,Euphorbiaceae,Accepted,Lam,125748-wcs,
198736,Acacia acradenia,Acacia acradenia,Fabaceae,Acacia,acradenia,2,FMuell,,,species,,,,17894,Fabaceae,Invalid,FMuell,614176-az,matching authors
198736,Acacia acradenia,Acacia acradenia,Fabaceae,Acacia,acradenia,2,FMuell,,,species,,,,17894,Fabaceae,Accepted,FMuell,611108-az,matching authors
198916,Indigofera trifoliata,Indigofera trifoliata,Fabaceae,Indigofera,trifoliata,2,L,,,species,,,,17998,Fabaceae,Illegitimate,L,864585-az,matching authors
198916,Indigofera trifoliata,Indigofera trifoliata,Fabaceae,Indigofera,trifoliata,2,L,,,species,,,,17998,Fabaceae,Accepted,L,864858-az,matching authors
