taxonID,scientificName,tip_label,family,genus,species,split_length,author.x,genus_hybrid,species_hybrid,taxon_rank,infra_name,comment,usable,id,family.apg,taxon_status,author.y,accepted_plant_name_id,match_type
1200757,Habenaria stenopetala,Habenaria stenopetala,Orchidaceae,Habenaria,stenopetala,2,Lindl,,,species,,,,58223,Orchidaceae,Accepted,Lindl,95654-wcs,matching authors
1294397,Salvia hypoleuca,Salvia hypoleuca,Lamiaceae,Salvia,hypoleuca,2,,,,species,,,,61087,Lamiaceae,Invalid,HochstexBenth,183812-wcs,
1294397,Salvia hypoleuca,Salvia hypoleuca,Lamiaceae,Salvia,hypoleuca,2,,,,species,,,,61087,Lamiaceae,Accepted,Benth,182860-wcs,
1309609,Silene amoena,Silene amoena,Caryophyllaceae,Silene,amoena,2,L,,,species,,,,61296,Caryophyllaceae,Illegitimate,L,1259361-az,matching authors
1309609,Silene amoena,Silene amoena,Caryophyllaceae,Silene,amoena,2,L,,,species,,,,61296,Caryophyllaceae,Accepted,L,485647-az,matching authors
1309609,Silene amoena,Silene amoena,Caryophyllaceae,Silene,amoena,2,L,,,species,,,,61296,Caryophyllaceae,Invalid,Fenzl,1259394-az,no matching authors
1309609,Silene amoena,Silene amoena,Caryophyllaceae,Silene,amoena,2,L,,,species,,,,61296,Caryophyllaceae,Invalid,Fenzl,488252-az,no matching authors
1309609,Silene amoena,Silene amoena,Caryophyllaceae,Silene,amoena,2,L,,,species,,,,61296,Caryophyllaceae,Illegitimate,Huds,1259358-az,no matching authors
1368254,Geranium diffusum,Geranium diffusum,Geraniaceae,Geranium,diffusum,2,,,,species,,,,62674,Geraniaceae,Invalid,Picard,823070-az,
1368254,Geranium diffusum,Geranium diffusum,Geraniaceae,Geranium,diffusum,2,,,,species,,,,62674,Geraniaceae,Accepted,Kunth,823157-az,
1385507,Saxifraga taylorii,Saxifraga taylorii,Saxifragaceae,Saxifraga,taylorii,2,,,,species,,,,62863,Saxifragaceae,Illegitimate,HarrySm,584148-az,
